,frequency,flux
0,3308006762.932,4577.597064316273
1,2412004956.341,10571.522559642792
2,2156004440.172,9082.384665608406
3,2796005730.594,5949.108177304268
4,3564007279.101,3297.4924348294735
5,3436007021.016,5172.731699287891
6,2284004698.256,8588.077402472496
7,2028004182.087,15314.42912709713
8,2924005988.678,5081.666000723839
9,3692007537.185,2503.275923907757
10,3052006246.763,5233.158606946468
11,2668005472.509,7526.925104260445
12,3820007795.269,2862.2658031880856
13,3180006504.847,5074.973968267441
14,2540005214.425,10242.190806984901
15,3948008053.354,2262.11378338933
